"landing_site","acuaculture_production","est_aquaculture_production","est_aquaculture_certainty","aquacultureFLAG_landing.site"
"PRESA SAN JOSE ATLANGA","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO EL BARRIL","no","no, as reported","estimate is consistent with original report","NO"
"CERRO PRIETO","no","no, as reported","estimate is consistent with original report","NO"
"PANTEON, EL","no","no, as reported","estimate is consistent with original report","NO"
"PUERTA DEL FLOJO","no","no, as reported","estimate is consistent with original report","NO"
"REV. CALIHUEY, POCHOTES VARIOS","no","no, as reported","estimate is consistent with original report","NO"
"ACUACULTORES DE DIMAS (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PRESA ADOLFO LOPEZ MATEOS","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA SAN NICOLAS","no","no, as reported","estimate is consistent with original report","NO"
"2 ARBOLITOS","no","no, as reported","estimate is consistent with original report","NO"
"EL ROBLE","no","no, as reported","estimate is consistent with original report","NO"
"CRUZ DE ELOTA","no","no, as reported","estimate is consistent with original report","NO"
"VENA EL PUYEQUE","no","no, as reported","estimate is consistent with original report","NO"
"BOCA EL MOJON","no","no, as reported","estimate is consistent with original report","NO"
"ENSENADA DEL PABELLON","no","no, as reported","estimate is consistent with original report","NO"
"LIT.GOLFO DE CALIFORNIA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL SAUCILLO","no","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO","no","no, as reported","estimate is consistent with original report","NO"
"CUEVAS, LAS","no","no, as reported","estimate is consistent with original report","NO"
"HECHOTEHUECA","no","no, as reported","estimate is consistent with original report","NO"
"LOS POCHOTES","no","no, as reported","estimate is consistent with original report","NO"
"SAN SEBASTIAN","no","no, as reported","estimate is consistent with original report","NO"
"COSTAS DE CELESTUN","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA RAZA","no","no, as reported","estimate is consistent with original report","NO"
"LAS TINAS","no","no, as reported","estimate is consistent with original report","NO"
"LA PLAYITA","no","no, as reported","estimate is consistent with original report","NO"
"EL MOJON","no","no, as reported","estimate is consistent with original report","NO"
"LA CALETA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL CAJON","no","no, as reported","estimate is consistent with original report","NO"
"PAREDON ROJO","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA EL CARACOL","no","no, as reported","estimate is consistent with original report","NO"
"EL PASADERO DE PIEDRA","no","no, as reported","estimate is consistent with original report","NO"
"EBANITO","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO LA COMPRA","no","no, as reported","estimate is consistent with original report","NO"
"EL TREBOL","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA LUPONA (EN ISLA ESPIRITU SANTO)","no","no, as reported","estimate is consistent with original report","NO"
"BUENOS AIRES ELOTA SINALOA (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"ALVARADO","no","no, as reported","estimate is consistent with original report","NO"
"LAS ARENITAS","no","no, as reported","estimate is consistent with original report","NO"
"SISTEMAS ACUATICOS CONTROLADOS(CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PRESA LA TINAJA","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO LA PRESA","no","no, as reported","estimate is consistent with original report","NO"
"EL CARRIZO","no","no, as reported","estimate is consistent with original report","NO"
"EL CUERVO (CULT.)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PUNTA CHUECA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LA GUADALUPE","no","no, as reported","estimate is consistent with original report","NO"
"ARROYO EL CARRIZAL","no","no, as reported","estimate is consistent with original report","NO"
"LA ATANACIA","no","no, as reported","estimate is consistent with original report","NO"
"LOS GUAJES","no","no, as reported","estimate is consistent with original report","NO"
"LA ESPERANZA","no","no, as reported","estimate is consistent with original report","NO"
"EL MORRO","no","no, as reported","estimate is consistent with original report","NO"
"MEZA DEL NOVILLO","no","no, as reported","estimate is consistent with original report","NO"
"LAGO DE CUITZEO","no","no, as reported","estimate is consistent with original report","NO"
"HUANACAXTLE","no","no, as reported","estimate is consistent with original report","NO"
"PRESA VALERIO","no","no, as reported","estimate is consistent with original report","NO"
"EL TOMATE","no","no, as reported","estimate is consistent with original report","NO"
"VACAS Y CALERAS","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA SAN MIGUEL","no","no, as reported","estimate is consistent with original report","NO"
"HIGUERAS DE ZARAGOZA (CULT.)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"BAJO DE LOS PERROS","no","no, as reported","estimate is consistent with original report","NO"
"COL. VICENTE GUERRERO","no","no, as reported","estimate is consistent with original report","NO"
"BELLAVISTA","no","no, as reported","estimate is consistent with original report","NO"
"100 MTS DEL PASADERO DE LA COOP. CHAMPERICO.","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO DE SAN BASILIO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EPIFANIA","no","no, as reported","estimate is consistent with original report","NO"
"CAIMANCITOS","no","no, as reported","estimate is consistent with original report","NO"
"TRES CERRITOS","no","no, as reported","estimate is consistent with original report","NO"
"ISLA SAN PEDRO MARTIR","no","no, as reported","estimate is consistent with original report","NO"
"LAS BARRANCAS (EN LOS CABOS)","no","no, as reported","estimate is consistent with original report","NO"
"NUEVA TECNOLOGIA DEL PACIFICO (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"RINCON BALLENAS","no","no, as reported","estimate is consistent with original report","NO"
"SANTO TOMAS","no","no, as reported","estimate is consistent with original report","NO"
"LA BRECHA (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PUERTO LOS CHOROS","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA MARIA","no","no, as reported","estimate is consistent with original report","NO"
"BORRASCOSO","no","no, as reported","estimate is consistent with original report","NO"
"MAHAHUAL","no","no, as reported","estimate is consistent with original report","NO"
"SITIO ESTERO EL TAPEIXTE","no","no, as reported","estimate is consistent with original report","NO"
"PARAJE NUEVO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA """"CASA BLANCA""""","no","no, as reported","estimate is consistent with original report","NO"
"LA PALAPA","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DEL CARRIZO (CULT.)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"COASTECOMATE, EL","no","no, as reported","estimate is consistent with original report","NO"
"PRESA CARROZAS","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA FRENTE A LA COOPERATIVA CARIBE","no","no, as reported","estimate is consistent with original report","NO"
"PALMITO DEL VERDE","no","no, as reported","estimate is consistent with original report","NO"
"a","no","no, as reported","estimate is consistent with original report","NO"
"PRESA SAN JOSE","no","no, as reported","estimate is consistent with original report","NO"
"PUENTE EL COLORADO","no","no, as reported","estimate is consistent with original report","NO"
"RIO TAMAZULA","no","no, as reported","estimate is consistent with original report","NO"
"ISLA DE CORONADO","no","no, as reported","estimate is consistent with original report","NO"
"RIBERA DE LA PRESA","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA FINAL (B. DE LOS ANGELES)","no","no, as reported","estimate is consistent with original report","NO"
"ARROYO DE LOS REYES","no","no, as reported","estimate is consistent with original report","NO"
"EL CIRUELITO (ACUA)","no","no, as reported","estimate is consistent with original report","NO"
"LA RAMADA","no","no, as reported","estimate is consistent with original report","NO"
"AGUA TENDIDA","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO EL ARCO","no","no, as reported","estimate is consistent with original report","NO"
"POBLADO BARRA DEL TORDO","no","no, as reported","estimate is consistent with original report","NO"
"ARTEAGA","no","no, as reported","estimate is consistent with original report","NO"
"EL TIBURON","no","no, as reported","estimate is consistent with original report","NO"
"LOS DOLORES","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA ALMEJAS","no","no, as reported","estimate is consistent with original report","NO"
"CALAMAJUE","no","no, as reported","estimate is consistent with original report","NO"
"COL. REVOLUCION","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA HERMOSA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LAS TROJES","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA GRANDE","no","no, as reported","estimate is consistent with original report","NO"
"ISLA DEL CARMEN","no","no, as reported","estimate is consistent with original report","NO"
"EL SALADITO","no","no, as reported","estimate is consistent with original report","NO"
"KILA, LERMA","no","no, as reported","estimate is consistent with original report","NO"
"PUERTO DE ALTATA (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"LA TRINIDAD","no","no, as reported","estimate is consistent with original report","NO"
"SANTA MARTA","no","no, as reported","estimate is consistent with original report","NO"
"COSTA AZUL","no","no, as reported","estimate is consistent with original report","NO"
"CUAUHTEMOC","no","no, as reported","estimate is consistent with original report","NO"
"BAJO SAN MIGUEL","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO EL SOLAR DE LA COOP.","no","no, as reported","estimate is consistent with original report","NO"
"TORRE BLANCA","no","no, as reported","estimate is consistent with original report","NO"
"SAN RAFAEL (EN BAHIA CONCEPCION)","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LAS PEÑAS","no","no, as reported","estimate is consistent with original report","NO"
"ISLA ESPIRITU SANTO","no","no, as reported","estimate is consistent with original report","NO"
"MENDIA","no","no, as reported","estimate is consistent with original report","NO"
"ISLAS CORONADO","no","no, as reported","estimate is consistent with original report","NO"
"DON ABEL","no","no, as reported","estimate is consistent with original report","NO"
"QUERENDARO","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DEL QUELELE","no","no, as reported","estimate is consistent with original report","NO"
"DIQUE LA PRIMAVERA","no","no, as reported","estimate is consistent with original report","NO"
"POTRERO DE PALMITA","no","no, as reported","estimate is consistent with original report","NO"
"LA VENA DE SOLIS","no","no, as reported","estimate is consistent with original report","NO"
"LA CUCHILLA (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"POBLADO NO. 5 (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"EL MAUTILLO","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA TLALOC","no","no, as reported","estimate is consistent with original report","NO"
"EL CHURRITO","no","no, as reported","estimate is consistent with original report","NO"
"ISLA SALSIPUEDES","no","no, as reported","estimate is consistent with original report","NO"
"PLAYITA DE ENMEDIO","no","no, as reported","estimate is consistent with original report","NO"
"TANQUE ELEVADO","no","no, as reported","estimate is consistent with original report","NO"
"AGUA DULCE","no","no, as reported","estimate is consistent with original report","NO"
"EXPLANADA DEL FARO","no","no, as reported","estimate is consistent with original report","NO"
"ENSENADA DE LOS CARROS (CULT.)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"LOMAS DE MONTERREY","no","no, as reported","estimate is consistent with original report","NO"
"LA PUNTITA (VARADERO)","no","no, as reported","estimate is consistent with original report","NO"
"AGUAS LITORALES (LOS CABOS)","no","no, as reported","estimate is consistent with original report","NO"
"ISLA RAZA","no","no, as reported","estimate is consistent with original report","NO"
"ORILLA DEL ESTERO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL OCOTE","no","no, as reported","estimate is consistent with original report","NO"
"RIO AMECA Y ARROYO DE LOS REYES","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO PRESA LA YESCA","no","no, as reported","estimate is consistent with original report","NO"
"VALLE DE LA URRACA, EL","no","no, as reported","estimate is consistent with original report","NO"
"CANTON, EL","no","no, as reported","estimate is consistent with original report","NO"
"ARROYO LA BARRANCA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LOS SAUCES","no","no, as reported","estimate is consistent with original report","NO"
"CORTINA DE LA PRESA ADOLFO LOPEZ MATEOS","yes","yes, as reported","estimate is consistent with original report","NO"
"DIQUE NO.3","no","no, as reported","estimate is consistent with original report","NO"
"EL SALTO (PRESA)","yes","yes, as reported","estimate is consistent with original report","NO"
"SALSIPUEDES","no","no, as reported","estimate is consistent with original report","NO"
"ADOLFO LOPEZ MATEOS (PRESA)","yes","yes, as reported","estimate is consistent with original report","NO"
"LAS IGUANAS","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA CHIRICAHUETO","yes","yes, as reported","estimate is consistent with original report","NO"
"LAGUNA DE MASTRANZO","no","no, as reported","estimate is consistent with original report","NO"
"PIEDRA BOLAS","no","no, as reported","estimate is consistent with original report","NO"
"EL QUEMADO","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA CABEZA MECHUDA","no","no, as reported","estimate is consistent with original report","NO"
"SENTISPAC","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE ABOCHO","yes","yes, as reported","estimate is consistent with original report","NO"
"RIO TAMAZULA","yes","yes, as reported","estimate is consistent with original report","NO"
"SANALONA (PRESA)","yes","yes, as reported","estimate is consistent with original report","NO"
"RIO CULIACAN","yes","yes, as reported","estimate is consistent with original report","NO"
"LOPEZ PORTILLO (PRESA)","yes","yes, as reported","estimate is consistent with original report","NO"
"RIO SAN LORENZO","no","no, as reported","estimate is consistent with original report","NO"
"LA PINTA","no","no, as reported","estimate is consistent with original report","NO"
"ISLA SANTA ISABEL O EL HUERFANITO","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO LA CORTINA HOSTOTIPAQUILLO","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNAS LAS GARZAS","no","no, as reported","estimate is consistent with original report","NO"
"LA HERRADURA","no","no, as reported","estimate is consistent with original report","NO"
"EL ATRACADERO","no","no, as reported","estimate is consistent with original report","NO"
"PUENTE SAN PEDRO ANALCO","no","no, as reported","estimate is consistent with original report","NO"
"EL TASAJAL","no","no, as reported","estimate is consistent with original report","NO"
"TENENCIA TEPUXTEPEC","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA BALLENAS","no","no, as reported","estimate is consistent with original report","NO"
"LAS MULAS","no","no, as reported","estimate is consistent with original report","NO"
"RIO SAN LORENZO","yes","yes, as reported","estimate is consistent with original report","NO"
"PUNTA VERDE II (GOLFO DE CALIFORNIA)","no","no, as reported","estimate is consistent with original report","NO"
"AGUSTINA RAMIREZ (PRESA EL PEºON)","yes","yes, as reported","estimate is consistent with original report","NO"
"ISLA SAN ILDEFONSO","no","no, as reported","estimate is consistent with original report","NO"
"AGUAS CONTINENTALES (RIO SAN LORENZO)","yes","yes, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO COSPITA","yes","yes, as reported","estimate is consistent with original report","NO"
"LA CORTINA","yes","yes, as reported","estimate is consistent with original report","NO"
"RIB. ALTA 2DA SEC.","no","no, as reported","estimate is consistent with original report","NO"
"EL CAJETE","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO SAN CRISTOBAL","no","no, as reported","estimate is consistent with original report","NO"
"EL CAREY","no","no, as reported","estimate is consistent with original report","NO"
"EL MERO","yes","yes, as reported","estimate is consistent with original report","NO"
"RIO LAS JUNTAS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA PICACHOS","no","no, as reported","estimate is consistent with original report","NO"
"ATOYAC","no","no, as reported","estimate is consistent with original report","NO"
"ESTANQUE DE LA MORA","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PRESA LA CAÑADA","no","no, as reported","estimate is consistent with original report","NO"
"PLAN DE GUADALUPE","no","no, as reported","estimate is consistent with original report","NO"
"MORRO LOS FRAILES","no","no, as reported","estimate is consistent with original report","NO"
"PRESA OVIACHI","no","no, as reported","estimate is consistent with original report","NO"
"LOS PRADITOS","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE CALAMAJUE","no","no, as reported","estimate is consistent with original report","NO"
"PUENTE DE AGUA VERDE","no","no, as reported","estimate is consistent with original report","NO"
"LAS TRES TUMBAS","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA PRESITA","no","no, as reported","estimate is consistent with original report","NO"
"CUMBRES DE HUICICILA","no","no, as reported","estimate is consistent with original report","NO"
"LA CALAVERA","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA SALINAS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LA CALERA","no","no, as reported","estimate is consistent with original report","NO"
"ARROYO AGUA BLANCA","yes","yes, as reported","estimate is consistent with original report","NO"
"ROCA COMSAG","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO CAPOA","no","no, as reported","estimate is consistent with original report","NO"
"LA VIA Y RAMON","no","no, as reported","estimate is consistent with original report","NO"
"LA BOCANA","no","no, as reported","estimate is consistent with original report","NO"
"PUNTILLA DE HUIZACHE","no","no, as reported","estimate is consistent with original report","NO"
"LA PITHAYA","no","no, as reported","estimate is consistent with original report","NO"
"PUENTE DE ARCOS","no","no, as reported","estimate is consistent with original report","NO"
"LOS HORCONES (PRESA)","no","no, as reported","estimate is consistent with original report","NO"
"LA CARDONOSA","no","no, as reported","estimate is consistent with original report","NO"
"CORTINA DE LA PRESA SANALONA","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA LA SAUCEDA","yes","yes, as reported","estimate is consistent with original report","NO"
"ESTANQUE DE LA MORA","yes","yes, as reported","estimate is consistent with original report","YES"
"BAHIA DEL TOBARI","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO SAN JORGE","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO DE CAPOA","no","no, as reported","estimate is consistent with original report","NO"
"ZONA ESTEROS","no","no, as reported","estimate is consistent with original report","NO"
"RIO CRUCERO EL NARANJO","no","no, as reported","estimate is consistent with original report","NO"
"LA PINTA","yes","yes, as reported","estimate is consistent with original report","NO"
"LAGUNA DE LOS ACHOTES","no","no, as reported","estimate is consistent with original report","NO"
"NIÑOS HEROES","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA LOBOS (EN LORETO)","no","no, as reported","estimate is consistent with original report","NO"
"ENSENADA EL PULGUERO","no","no, as reported","estimate is consistent with original report","NO"
"TAPO REVOLUCION","yes","yes, as reported","estimate is consistent with original report","NO"
"LOS JIOTES","yes","yes, as reported","estimate is consistent with original report","NO"
"CON. EL VADO","no","no, as reported","estimate is consistent with original report","NO"
"DIQUE LA PRIMAVERA","yes","yes, as reported","estimate is consistent with original report","NO"
"CARRETONES DE CERRITOS","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO DE LOS POCITOS","no","no, as reported","estimate is consistent with original report","NO"
"CORONGOROS","no","no, as reported","estimate is consistent with original report","NO"
"PROGRESO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA RAMON CORONA","yes","yes, as reported","estimate is consistent with original report","NO"
"DEGOLLADO","no","no, as reported","estimate is consistent with original report","NO"
"RIO LOMAS DE AIRE","no","no, as reported","estimate is consistent with original report","NO"
"GRANJA DEL CHUMBEÑO","no","no, as reported","estimate is consistent with original report","NO"
"DEGOLLADO","yes","yes, as reported","estimate is consistent with original report","NO"
"CANAL DE RIEGO DEL VALLE DEL CARRIZAL","no","no, as reported","estimate is consistent with original report","NO"
"EL QUESO","no","no, as reported","estimate is consistent with original report","NO"
"EL CASTILLO","yes","yes, as reported","estimate is consistent with original report","NO"
"CHANTEPEC","no","no, as reported","estimate is consistent with original report","NO"
"SANTA CRUZ","no","no, as reported","estimate is consistent with original report","NO"
"PRESA ALBERTO ANDRES ALVARADO ARAMBURO (PRESA LA HIGUERILLA)","no","no, as reported","estimate is consistent with original report","NO"
"PRESA MELON ZAPOTE (SAN JUAN BAUTISTA)","no","no, as reported","estimate is consistent with original report","NO"
"BAJO DEL 23","no","no, as reported","estimate is consistent with original report","NO"
"RIO BALUARTE","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO LOS NEGROS","no","no, as reported","estimate is consistent with original report","NO"
"LA TOBA (CAMPO)","no","no, as reported","estimate is consistent with original report","NO"
"PUERTECITOS","NO","no, as reported","estimate is consistent with original report","NO"
"EL MUERTO","NO","no, as reported","estimate is consistent with original report","NO"
"R. PORTUARIO PCO","NO","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO ISLA DE LA PIEDRA","NO","no, as reported","estimate is consistent with original report","NO"
"ISLA DE LA PIEDRA","NO","no, as reported","estimate is consistent with original report","NO"
"SAN LUIS GONZAGA","NO","no, as reported","estimate is consistent with original report","NO"
"RIO LERMA-SANTIAGO","NO","no, as reported","estimate is consistent with original report","NO"
"MARGEN DE LA PRESA","NO","no, as reported","estimate is consistent with original report","NO"
"SAN FELIPE","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA PRIETA","NO","no, as reported","estimate is consistent with original report","NO"
"ESTERO LA BOCANITA","NO","no, as reported","estimate is consistent with original report","NO"
"TOPOLOBAMPO","NO","no, as reported","estimate is consistent with original report","NO"
"LAS PLAYITAS","NO","no, as reported","estimate is consistent with original report","NO"
"CAMPO SAHUARO","NO","no, as reported","estimate is consistent with original report","NO"
"LAS LAJITAS","NO","no, as reported","estimate is consistent with original report","NO"
"CAMPO EL COLORADO","NO","no, as reported","estimate is consistent with original report","NO"
"EL CARACOL","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA SAN FRANCISQUITO","NO","no, as reported","estimate is consistent with original report","NO"
"LA BALLENA","NO","no, as reported","estimate is consistent with original report","NO"
"REC PORTUARIO","NO","no, as reported","estimate is consistent with original report","NO"
"MUELLE DE SAN FELIPE","NO","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO COSTA AZUL","NO","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO PLAYA COLORADA","NO","no, as reported","estimate is consistent with original report","NO"
"TEMBABICHE","NO","no, as reported","estimate is consistent with original report","NO"
"EL HUITUSSI","NO","no, as reported","estimate is consistent with original report","NO"
"CERRO CABEZON","NO","no, as reported","estimate is consistent with original report","NO"
"ENSENADA BLANCA","NO","no, as reported","estimate is consistent with original report","NO"
"BOCA DEL RIO","NO","no, as reported","estimate is consistent with original report","NO"
"LA PITAHAYA","NO","no, as reported","estimate is consistent with original report","NO"
"EL BARRIL","NO","no, as reported","estimate is consistent with original report","NO"
"LA PINTA","NO","no, as reported","estimate is consistent with original report","NO"
"LA REFORMA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA CUAUHTEMOC","NO","no, as reported","estimate is consistent with original report","NO"
"ALTA MAR","NO","no, as reported","estimate is consistent with original report","NO"
"EL PERIHUETE","NO","no, as reported","estimate is consistent with original report","NO"
"PUERTO LIBERTAD","NO","no, as reported","estimate is consistent with original report","NO"
"GRULLA MARGEN DERECHA","NO","no, as reported","estimate is consistent with original report","NO"
"CRUZ DE HUANACAXTLE, LA","NO","no, as reported","estimate is consistent with original report","NO"
"CABO SAN LUCAS","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA GUAYMAS","NO","no, as reported","estimate is consistent with original report","NO"
"BUENA VISTA","NO","no, as reported","estimate is consistent with original report","NO"
"GRULLA MARGEN IZQUIERDA","NO","no, as reported","estimate is consistent with original report","NO"
"EL TORTUGO","NO","no, as reported","estimate is consistent with original report","NO"
"LA RIBERA","NO","no, as reported","estimate is consistent with original report","NO"
"CAMPO EL COLORADITO","NO","no, as reported","estimate is consistent with original report","NO"
"PUERTO VIEJO (EN B.C.N.)","NO","no, as reported","estimate is consistent with original report","NO"
"PUERTO AGUA VERDE","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA CHUECA","NO","no, as reported","estimate is consistent with original report","NO"
"PEÑASCO","NO","no, as reported","estimate is consistent with original report","NO"
"SAN BRUNO (EN SANTA ROSALIA)","NO","no, as reported","estimate is consistent with original report","NO"
"MULEGE","NO","no, as reported","estimate is consistent with original report","NO"
"SANTA ROSALIA (B.C.S.)","NO","no, as reported","estimate is consistent with original report","NO"
"LIGUI","NO","no, as reported","estimate is consistent with original report","NO"
"LORETO","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE SAN JUANICO","NO","no, as reported","estimate is consistent with original report","NO"
"SAN NICOLAS","NO","no, as reported","estimate is consistent with original report","NO"
"EL JITZAMURI","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA KINO","NO","no, as reported","estimate is consistent with original report","NO"
"SITIO LA DRAGA","NO","no, as reported","estimate is consistent with original report","NO"
"LA ESCOLLERA","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE LOS ANGELES","NO","no, as reported","estimate is consistent with original report","NO"
"LA CAIMANERA","NO","no, as reported","estimate is consistent with original report","NO"
"EL MAJAHUAL","NO","no, as reported","estimate is consistent with original report","NO"
"DAUTILLOS","NO","no, as reported","estimate is consistent with original report","NO"
"EL CASTILLO","NO","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO EL TETUAN","NO","no, as reported","estimate is consistent with original report","NO"
"ALTATA","NO","no, as reported","estimate is consistent with original report","NO"
"PLAYA DE TEACAPAN","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA ARENA","NO","no, as reported","estimate is consistent with original report","NO"
"SAN EVARISTO","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE LA PAZ","NO","no, as reported","estimate is consistent with original report","NO"
"LOS MELAGOS","NO","no, as reported","estimate is consistent with original report","NO"
"BUENA VISTA (EN LOS CABOS)","NO","no, as reported","estimate is consistent with original report","NO"
"EL CARDONAL (EN LA PAZ)","NO","no, as reported","estimate is consistent with original report","NO"
"LOS FRAILES","NO","no, as reported","estimate is consistent with original report","NO"
"PLATANITOS","NO","no, as reported","estimate is consistent with original report","NO"
"ENSENADA DE MUERTOS","NO","no, as reported","estimate is consistent with original report","NO"
"EL SARGENTO","NO","no, as reported","estimate is consistent with original report","NO"
"EL CONCHAL","NO","no, as reported","estimate is consistent with original report","NO"
"COSPITA","NO","no, as reported","estimate is consistent with original report","NO"
"LA ARENITAS","NO","no, as reported","estimate is consistent with original report","NO"
"LOS BARRILES","NO","no, as reported","estimate is consistent with original report","NO"
"SITIO LA GUANERA","NO","no, as reported","estimate is consistent with original report","NO"
"BOCA DEL TULE","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE CEUTA","NO","no, as reported","estimate is consistent with original report","NO"
"LA CHOYA","NO","no, as reported","estimate is consistent with original report","NO"
"EL CENTENARIO","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA DE GRANO","NO","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO LAS AGUAMITAS","NO","no, as reported","estimate is consistent with original report","NO"
"LITORAL (NAVOLATO)","NO","no, as reported","estimate is consistent with original report","NO"
"LA BRECHA","NO","no, as reported","estimate is consistent with original report","NO"
"YAMETO","NO","no, as reported","estimate is consistent with original report","NO"
"EL QUESO","NO","no, as reported","estimate is consistent with original report","NO"
"ESTERO MULEGE","NO","no, as reported","estimate is consistent with original report","NO"
"CAMPO EL HECHO","NO","no, as reported","estimate is consistent with original report","NO"
"EL TETUAN","NO","no, as reported","estimate is consistent with original report","NO"
"EL SALADITO","NO","no, as reported","estimate is consistent with original report","NO"
"LA VENTANA","NO","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO LAZARO CARDENAS","NO","no, as reported","estimate is consistent with original report","NO"
"EL MERO","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE LOBOS","NO","no, as reported","estimate is consistent with original report","NO"
"ISLA SAN MARCOS","NO","no, as reported","estimate is consistent with original report","NO"
"ISLA SANTA ISABEL O EL HUERFANITO","NO","no, as reported","estimate is consistent with original report","NO"
