occ_ind,tourism,marine,category1,category2,category3,occ_ind_id,count
"Coordinators and department heads in construction, machinery repair, industrial equipment, telecommunications, and transportation --- Rental services for automobiles, trucks, and other ground transportation",x,,transportation,rentals,tourism,1615---5321,1
"Warehouse and stock control workers --- Rental services for automobiles, trucks, and other ground transportation",x,,transportation,rentals,tourism,3132---5321,1
Rental service workers for movable goods --- Tourist transportation,x,,transportation,rentals,tourism,4312---4870,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Temporary accommodation services",x,,transportation,tourism-oriented,tourism,8342---7210,4
Sweepers and cleaning workers (except in hotels and restaurants) --- Tourist transportation,x,,transportation,tourism-oriented,tourism,9621---4870,2
"Bus, truck, van, taxi, and passenger vehicle drivers --- Tourist transportation",x,,transportation,tourism-oriented,tourism,8342---4870,9
"Coordinators and department heads in administration, human resources, and marketing --- Tourist transportation",x,,transportation,tourism-oriented,tourism,1511---4870,2
Customs and border agents --- Transportation support services,x,,transportation,tourism-oriented,tourism,2522---4881,3
Supervisors of workers who provide and manage information --- Tourist transportation,x,,transportation,tourism-oriented,tourism,3201---4870,1
"Administrative, marketing, and international trade assistants --- Tourist transportation",x,,transportation,tourism-oriented,tourism,2511---4870,1
"Administrative, marketing, and international trade assistants --- Transportation support services",x,,transportation,tourism-oriented,tourism,2511---4881,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Entertainment services at recreational facilities and other recreational services",x,,transportation,tourism-oriented,tourism,8342---7131,1
"Truck, van, and freight vehicle drivers --- Tourist transportation",x,,transportation,tourism-oriented,tourism,8341---4870,1
Motor vehicle mechanics --- Tourist transportation,x,,transportation,tourism-oriented,tourism,2632---4870,1
Street food vendors and preparers --- Tourist transportation,x,,transportation,tourism-oriented,tourism,9521---4870,1
Directors and managers in transportation services --- Tourist transportation,x,,transportation,tourism-oriented,tourism,1323---4870,1
Transport dispatchers --- Tourist transportation,x,,transportation,tourism-oriented,tourism,3141---4870,1
Animal trainers and pet care workers --- Tourist transportation,x,,transportation,tourism-oriented,tourism,5254---4870,1
Photographers --- Tourist transportation,x,,transportation,tourism-oriented,tourism,2655---4870,1
"Parcel workers, bellhops, and hotel porters --- Passenger ground transportation, except rail",x,,transportation,tourism-oriented,tourism,9711---4850,1
"Directors and managers in construction, machinery repair, industrial equipment, telecommunications, and transportation --- Tourist transportation",x,,transportation,tourism-oriented,tourism,1315---4870,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Travel agencies and reservation services",x,,transportation,tourism-oriented,tourism,8342---5615,1
"Directors and managers in administration, human resources, and marketing --- Tourist transportation",x,,transportation,tourism-oriented,tourism,1211---4870,1
"Administrative, marketing, and international trade assistants --- Passenger ground transportation, except rail",x,,transportation,tourism-oriented,tourism,2511---4850,1
Customs brokers --- Transportation support services,x,,transportation,tourism-oriented,tourism,2513---4881,20
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Rental services and rental centers for tangible goods, excluding ground transportation equipment",x,x,transportation-marine,rentals,tourism,8324---5322,1
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Tourist transportation",x,x,transportation-marine,tourism-oriented,tourism,8324---4870,6
Captains and operators of maritime transport --- Tourist transportation,x,x,transportation-marine,tourism-oriented,tourism,8321---4870,3
"Deck officers, mates, and pilots --- Tourist transportation",x,x,transportation-marine,tourism-oriented,tourism,8322---4870,1
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Travel agencies and reservation services",x,x,transportation-marine,tourism-oriented,tourism,8324---5615,1
"Deck officers, mates, and pilots --- Households with domestic employees",x,x,transportation-marine,water,tourism,8322---8140,2
Captains and operators of maritime transport --- Water transportation,x,x,transportation-marine,water,tourism,8321---4830,1
"Supervisors of mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial instruments, and refrigeration equipment --- Water transportation",x,x,transportation-marine,water,tourism,2630---4830,1
"Deck officers, mates, and pilots --- Water transportation",x,x,transportation-marine,water,tourism,8322---4830,1
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Households with domestic employees",x,x,transportation-marine,water,tourism,8324---8140,1
"Sheet metal workers, panel beaters, tinsmiths, and metal painters --- Water transportation",x,x,transportation-marine,water,tourism,7213---4830,1
Captains and operators of maritime transport --- Real estate services,x,x,transportation-marine,water,tourism,8321---5310,1
"Administrative, marketing, and international trade assistants --- Water transportation",x,x,transportation-marine,water,tourism,2511---4830,1
Transport dispatchers --- Water transportation,x,x,transportation-marine,water,tourism,3141---4830,1
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Film, video, and sound industries",,,,,,5101---5120,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Food manufacturing",,,,,,8342---3110,1
"Directors and managers in sales, marketing, and rentals --- Transportation support services",,,,,,1411---4881,1
Goat and sheep herders --- Support activities for agriculture and forestry,,,,,,6124---1150,1
Aviation pilots --- Agriculture,,,,,,8311---1110,31
Physical education and sports instructors --- Entertainment services at recreational facilities and other recreational services,,,,,,2716---7131,30
"Mobile machinery operators for moving goods in factories, ports, commerce, etc. --- Transportation support services",,,,,,8352---4881,20
"Bus, truck, van, taxi, and passenger vehicle drivers --- Agriculture",,,,,,8342---1110,11
"Bus, truck, van, taxi, and passenger vehicle drivers --- State public administration",,,,,,8342---9313,9
Cooks --- Public hospitals,,,,,,5111---6222,8
Operators of agricultural and forestry machinery --- Support activities for agriculture and forestry,,,,,,6311---1150,7
Cooks --- Private hospitals,,,,,,5111---6221,7
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Personal services",,,,,,9601---8121,6
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Automobile and truck repair and maintenance services",,,,,,9601---8111,6
Object and merchandise packers --- Food and beverage preparation services,,,,,,9712---7221,6
"Administrative, marketing, and international trade assistants --- Food and beverage preparation services",,,,,,2511---7221,6
"Professionals and consultants in marketing, advertising, communication, and international trade --- Transportation support services",,,,,,2112---4881,6
Cooks --- Private daycare centers,,,,,,5111---6251,6
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Public hospitals",,,,,,9601---6222,5
"Bus, truck, van, taxi, and passenger vehicle drivers --- Municipal public administration",,,,,,8342---9314,5
Loaders --- Transportation support services,,,,,,9331---4881,5
"Truck, van, and freight vehicle drivers --- Transportation support services",,,,,,8341---4881,5
Warehouse and stock control workers --- Transportation support services,,,,,,3132---4881,4
Motor vehicle mechanics --- Transportation support services,,,,,,2632---4881,3
"Bus, truck, van, taxi, and passenger vehicle drivers --- Residential building construction",,,,,,8342---2361,3
Cooks --- Municipal public administration,,,,,,5111---9314,3
Cooks --- Associations and organizations,,,,,,5111---8130,3
"Bus, truck, van, taxi, and passenger vehicle drivers --- Public primary, secondary, and special education schools",,,,,,8342---6112,2
Food preparation assistants --- Public daycare centers,,,,,,9411---6252,2
Cooks --- Other public social assistance services,,,,,,5111---6242,2
Cooks --- Public daycare centers,,,,,,5111---6252,2
Workers in agricultural product processing --- Support activities for agriculture and forestry,,,,,,6117---1150,2
"Bus, truck, van, taxi, and passenger vehicle drivers --- Private primary, secondary, and special education schools",,,,,,8342---6111,2
Food preparation assistants --- Personal services,,,,,,9411---8121,2
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Business support services, employment services, and secretarial support",,,,,,9601---5611,2
"Cooks --- Public primary, secondary, and special education schools",,,,,,5111---6112,2
"Motor vehicle mechanics --- Passenger ground transportation, except rail",,,,,,2632---4850,2
"Cooks --- Private convalescent homes with nursing care for the chronically ill, terminally ill, or those in rehabilitation",,,,,,5111---6231,2
"Operators of machines for food, oil, fat, salt, and spice production --- Food and beverage preparation services",,,,,,8161---7221,2
"Cooks --- Private primary, secondary, and special education schools",,,,,,5111---6111,2
"Collection agents, paymasters, and money lenders --- Food and beverage preparation services by workers in mobile units",,,,,,3122---7222,2
"Bus, truck, van, taxi, and passenger vehicle drivers --- Public hospitals",,,,,,8342---6222,2
"Vocational and trade instructors and trainers --- Passenger ground transportation, except rail",,,,,,2715---4850,2
Food preparation assistants --- Plastics and rubber products manufacturing,,,,,,9411---3260,2
"Assistants and technicians in biological, chemical, and environmental sciences --- Petroleum and coal products manufacturing",,,,,,2612---3240,2
"Bus, truck, van, taxi, and passenger vehicle drivers --- Public outpatient medical and related services",,,,,,8342---6212,2
Food preparation assistants --- Federal public administration,,,,,,9411---9312,2
Mobile machinery operators for construction and mining --- Support activities for agriculture and forestry,,,,,,8351---1150,2
"Architects, urban planners, and transportation planners --- Food and beverage preparation services",,,,,,2263---7221,1
Cooks --- Other private social assistance services,,,,,,5111---6241,1
Horse breeders and equine farm workers --- Professional athletes and sports teams,,,,,,6125---7112,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Automobile and truck repair and maintenance services",,,,,,2612---8111,1
Agricultural support workers --- Support activities for agriculture and forestry,,,,,,9111---1150,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Private outpatient medical and related services",,,,,,2612---6211,1
Street food vendors and preparers --- Municipal public administration,,,,,,9521---9314,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Public outpatient medical and related services",,,,,,2612---6212,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Agriculture",,,,,,9601---1110,1
"Accounting, finance assistants, and stockbrokers --- Support activities for agriculture and forestry",,,,,,2512---1150,1
"Biologists, marine scientists, and oceanographers --- Public hospitals",,,,,,2221---6222,1
"Food preparation assistants --- Business support services, employment services, and secretarial support",,,,,,9411---5611,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Transportation equipment manufacturing",,,,,,8342---3360,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Corporate services",,,,,,8342---5510,1
"Support workers in the food, beverage, and tobacco industries --- Transportation equipment manufacturing",,,,,,9236---3360,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Public primary, secondary, and special education schools",,,,,,1722---6112,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Real estate services",,,,,,1722---5310,1
Food preparation assistants --- Public hospitals,,,,,,9411---6222,1
Vegetable and produce workers --- Support activities for agriculture and forestry,,,,,,6112---1150,1
Sex workers --- Food and beverage preparation services,,,,,,5252---7221,1
Supervisors of sales and financial services employees --- Transportation support services,,,,,,4201---4881,1
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Private hospitals",,,,,,5101---6221,1
"Mining, metallurgical, and petroleum technicians and assistants --- Support activities for agriculture and forestry",,,,,,2623---1150,1
Nursery and greenhouse workers --- Entertainment services at recreational facilities and other recreational services,,,,,,6223---7131,1
"Tailors, dressmakers, sewers, and garment and accessory makers (fabric, leather, and similar materials) --- Food and beverage preparation services",,,,,,7341---7221,1
Food preparation assistants --- Municipal public administration,,,,,,9411---9314,1
Waiters --- Private universities and higher education institutions,,,,,,5116---6131,1
Nutritionists --- Food and beverage preparation services,,,,,,2433---7221,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Public hospitals",,,,,,2612---6222,1
Cooks --- Personal services,,,,,,5111---8121,1
File and correspondence clerks --- Transportation support services,,,,,,3131---4881,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- State public administration",,,,,,9601---9313,1
"Mobile machinery operators for construction and mining --- Passenger ground transportation, except rail",,,,,,8351---4850,1
"Street food vendors and preparers --- Street vending of household appliances, home decor, and used items",,,,,,9521---4662,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Freight trucking",,,,,,8342---4840,1
"Support workers in the food, beverage, and tobacco industries --- Agriculture",,,,,,9236---1110,1
"Support workers in the food, beverage, and tobacco industries --- Livestock farming and animal breeding",,,,,,9236---1121,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Federal public administration",,,,,,9601---9312,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Non-metallic mineral product manufacturing",,,,,,8342---3270,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Associations and organizations",,,,,,8342---8130,1
"Blacksmiths, railing makers, aluminum workers, and metal forgers --- Support activities for agriculture and forestry",,,,,,7221---1150,1
Assistants to railway transport operators --- Freight trucking,,,,,,9312---4840,1
"Waiters --- Private primary, secondary, and special education schools",,,,,,5116---6111,1
Administrative support workers in various activities --- Insufficiently specified descriptions of the transportation sector,,,,,,3115---4899,1
Cooks --- Public technical higher education schools,,,,,,5111---6122,1
Accountants and auditors --- Support activities for agriculture and forestry,,,,,,2121---1150,1
"Workers in the production of bread, tortillas, pastries, and other cereal and flour products --- Professional athletes and sports teams",,,,,,7513---7112,1
"Food preparation assistants --- Film, video, and sound industries",,,,,,9411---5120,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Plastics and rubber products manufacturing",,,,,,8342---3260,1
Psychologists --- Food and beverage preparation services,,,,,,2142---7221,1
Cooks --- Public universities and higher education institutions,,,,,,5111---6132,1
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Public hospitals",,,,,,5101---6222,1
Waiters --- Freight trucking,,,,,,5116---4840,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Fabricated metal product manufacturing",,,,,,8342---3320,1
Cooks --- Public outpatient medical and related services,,,,,,5111---6212,1
Mobile machinery operators for construction and mining --- Temporary accommodation services,,,,,,8351---7210,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Private convalescent homes with nursing care for the chronically ill, terminally ill, or those in rehabilitation",,,,,,9601---6231,1
"Operators of machines for food, oil, fat, salt, and spice production --- Support activities for agriculture and forestry",,,,,,8161---1150,1
"Traffic controllers for other modes of transport (land, rail, and maritime) --- Freight trucking",,,,,,2662---4840,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Generation, transmission, distribution, and commercialization of electric power",,,,,,2612---2211,1
"Food preparation assistants --- Private convalescent homes with nursing care for the chronically ill, terminally ill, or those in rehabilitation",,,,,,9411---6231,1
Air Force personnel --- Food and beverage preparation services,,,,,,5411---7221,1
Mobile machinery operators for construction and mining --- Water transportation,,,,,,8351---4830,1
Nursing assistants and paramedics --- Entertainment services at recreational facilities and other recreational services,,,,,,2821---7131,1
"Cooks --- Film, video, and sound industries",,,,,,5111---5120,1
Supervisors of personal care and household workers --- Transportation support services,,,,,,5201---4881,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Retail trade of motor vehicles, parts, fuels, and lubricants",,,,,,8342---4681,1
"Coordinators and area chiefs in artistic activities, film, theater, and related fields --- Film, video, and sound industries",,,,,,1721---5120,1
Livestock support workers --- Professional athletes and sports teams,,,,,,9112---7112,1
Occupational safety and hygiene technicians --- Support activities for agriculture and forestry,,,,,,2825---1150,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Food manufacturing",,,,,,2612---3110,1
Cooks --- Federal public administration,,,,,,5111---9312,1
"Surveyors --- Passenger ground transportation, except rail",,,,,,3231---4850,1
