"estimated_species_name","OHI_region","Year_of_Recommendation","status","control","notes"
"larkinia grandis","region_9",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia multicostata","region_1",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia multicostata","region_2",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia multicostata","region_3",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia multicostata","region_4",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia multicostata","region_8",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia multicostata","region_9",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"leptasterias hexactis","region_1",2004,"","",NA
"leptasterias hexactis","region_2",2004,"","",NA
"leptasterias hexactis","region_3",2004,"","",NA
"leptasterias hexactis","region_4",2004,"","",NA
"leptasterias hexactis","region_5",2004,"","",NA
"leptasterias hexactis","region_6",2004,"","",NA
"leptasterias hexactis","region_7",2004,"","",NA
"leptasterias hexactis","region_8",2004,"","",NA
"leptasterias hexactis","region_9",2004,"","",NA
"linckia columbiae","region_1",2004,"","",NA
"linckia columbiae","region_2",2004,"","",NA
"linckia columbiae","region_3",2004,"","",NA
"linckia columbiae","region_4",2004,"","",NA
"linckia columbiae","region_5",2004,"","",NA
"linckia columbiae","region_6",2004,"","",NA
"linckia columbiae","region_7",2004,"","",NA
"linckia columbiae","region_8",2004,"","",NA
"linckia columbiae","region_9",2004,"","",NA
"litopenaeus occidentalis","region_1",2012,"maximally harvested","no increase","page 39, generalized, not in gulf of cali, it is on the pacific coast at the Magdalena-Almejas Bay"
"litopenaeus occidentalis","region_2",2012,"maximally harvested","no increase",NA
"litopenaeus occidentalis","region_3",2012,"maximally harvested","no increase",NA
"litopenaeus occidentalis","region_4",2012,"maximally harvested","no increase",NA
"litopenaeus occidentalis","region_5",2012,"maximally harvested","no increase",NA
"litopenaeus occidentalis","region_6",2012,"maximally harvested","no increase",NA
"litopenaeus occidentalis","region_7",2012,"maximally harvested","no increase",NA
"litopenaeus occidentalis","region_8",2012,"maximally harvested","no increase",NA
"litopenaeus occidentalis","region_9",2012,"maximally harvested","no increase",NA
"litopenaeus stylirostris","region_1",2017,"maximally harvested","no increase",NA
"litopenaeus stylirostris","region_2",2017,"maximally harvested","no increase",NA
"litopenaeus stylirostris","region_3",2017,"maximally harvested","no increase",NA
"litopenaeus stylirostris","region_4",2017,"maximally harvested","no increase",NA
"litopenaeus stylirostris","region_5",2017,"maximally harvested","no increase",NA
"litopenaeus stylirostris","region_6",2017,"maximally harvested","no increase",NA
"litopenaeus stylirostris","region_7",2017,"maximally harvested","no increase",NA
"litopenaeus stylirostris","region_8",2017,"maximally harvested","no increase",NA
"litopenaeus stylirostris","region_9",2017,"maximally harvested","no increase",NA
"litopenaeus vannamei","region_1",2017,"maximally harvested","no increase",NA
"litopenaeus vannamei","region_2",2017,"maximally harvested","no increase",NA
"litopenaeus vannamei","region_3",2017,"maximally harvested","no increase",NA
"litopenaeus vannamei","region_4",2017,"maximally harvested","no increase",NA
"litopenaeus vannamei","region_5",2017,"maximally harvested","no increase",NA
"litopenaeus vannamei","region_6",2017,"maximally harvested","no increase",NA
"litopenaeus vannamei","region_7",2017,"maximally harvested","no increase",NA
"litopenaeus vannamei","region_8",2017,"maximally harvested","no increase",NA
"litopenaeus vannamei","region_9",2017,"maximally harvested","no increase",NA
"lutjanus aratus","region_1",2023,"maximally harvested","no increase",NA
"lutjanus aratus","region_2",2023,"maximally harvested","no increase",NA
"lutjanus aratus","region_3",2023,"maximally harvested","no increase",NA
"lutjanus aratus","region_4",2023,"maximally harvested","no increase",NA
"lutjanus aratus","region_5",2023,"maximally harvested","no increase",NA
"lutjanus aratus","region_6",2023,"maximally harvested","no increase",NA
"lutjanus aratus","region_7",2023,"maximally harvested","no increase",NA
"lutjanus aratus","region_8",2023,"maximally harvested","no increase",NA
"lutjanus aratus","region_9",2023,"maximally harvested","no increase",NA
"lutjanus argentiventris","region_1",2023,"maximally harvested","no increase",NA
"lutjanus argentiventris","region_2",2023,"maximally harvested","no increase",NA
"lutjanus argentiventris","region_3",2023,"maximally harvested","no increase",NA
"lutjanus argentiventris","region_4",2023,"maximally harvested","no increase",NA
"lutjanus argentiventris","region_5",2023,"maximally harvested","no increase",NA
"lutjanus argentiventris","region_6",2023,"maximally harvested","no increase",NA
"lutjanus argentiventris","region_7",2023,"maximally harvested","no increase",NA
"lutjanus argentiventris","region_8",2023,"maximally harvested","no increase",NA
"lutjanus argentiventris","region_9",2023,"maximally harvested","no increase",NA
"lutjanus colorado","region_1",2023,"maximally harvested","no increase",NA
"lutjanus colorado","region_2",2023,"maximally harvested","no increase",NA
"lutjanus colorado","region_3",2023,"maximally harvested","no increase",NA
"lutjanus colorado","region_4",2023,"maximally harvested","no increase",NA
"lutjanus colorado","region_5",2023,"maximally harvested","no increase",NA
"lutjanus colorado","region_6",2023,"maximally harvested","no increase",NA
"lutjanus colorado","region_7",2023,"maximally harvested","no increase",NA
"lutjanus colorado","region_8",2023,"maximally harvested","no increase",NA
"lutjanus colorado","region_9",2023,"maximally harvested","no increase",NA
"lutjanus guttatus","region_1",2023,"maximally harvested","no increase",NA
"lutjanus guttatus","region_2",2023,"maximally harvested","no increase",NA
"lutjanus guttatus","region_3",2023,"maximally harvested","no increase",NA
"lutjanus guttatus","region_4",2023,"maximally harvested","no increase",NA
"lutjanus guttatus","region_5",2023,"maximally harvested","no increase",NA
"lutjanus guttatus","region_6",2023,"maximally harvested","no increase",NA
"lutjanus guttatus","region_7",2023,"maximally harvested","no increase",NA
"lutjanus guttatus","region_8",2023,"maximally harvested","no increase",NA
"lutjanus guttatus","region_9",2023,"maximally harvested","no increase",NA
"lutjanus inermis","region_1",2023,"maximally harvested","no increase",NA
"lutjanus inermis","region_2",2023,"maximally harvested","no increase",NA
"lutjanus inermis","region_3",2023,"maximally harvested","no increase",NA
"lutjanus inermis","region_4",2023,"maximally harvested","no increase",NA
"lutjanus inermis","region_5",2023,"maximally harvested","no increase",NA
"lutjanus inermis","region_6",2023,"maximally harvested","no increase",NA
"lutjanus inermis","region_7",2023,"maximally harvested","no increase",NA
"lutjanus inermis","region_8",2023,"maximally harvested","no increase",NA
"lutjanus inermis","region_9",2023,"maximally harvested","no increase",NA
"lutjanus jordani","region_1",2010,"","",NA
"lutjanus jordani","region_2",2010,"","",NA
"lutjanus jordani","region_3",2010,"","",NA
"lutjanus jordani","region_4",2010,"","",NA
"lutjanus jordani","region_5",2010,"","",NA
"lutjanus jordani","region_6",2010,"","",NA
"lutjanus jordani","region_7",2010,"","",NA
"lutjanus jordani","region_8",2010,"","",NA
"lutjanus jordani","region_9",2010,"","",NA
"lutjanus novemfasciatus","region_1",2023,"maximally harvested","no increase",NA
"lutjanus novemfasciatus","region_2",2023,"maximally harvested","no increase",NA
"lutjanus novemfasciatus","region_3",2023,"maximally harvested","no increase",NA
"lutjanus novemfasciatus","region_4",2023,"maximally harvested","no increase",NA
"lutjanus novemfasciatus","region_5",2023,"maximally harvested","no increase",NA
"lutjanus novemfasciatus","region_6",2023,"maximally harvested","no increase",NA
"lutjanus novemfasciatus","region_7",2023,"maximally harvested","no increase",NA
"lutjanus novemfasciatus","region_8",2023,"maximally harvested","no increase",NA
"lutjanus novemfasciatus","region_9",2023,"maximally harvested","no increase",NA
"lutjanus peru","region_1",2023,"maximally harvested","no increase",NA
"lutjanus peru","region_2",2023,"maximally harvested","no increase",NA
"lutjanus peru","region_3",2023,"maximally harvested","no increase",NA
"lutjanus peru","region_4",2023,"maximally harvested","no increase",NA
"lutjanus peru","region_5",2023,"maximally harvested","no increase",NA
"lutjanus peru","region_6",2023,"maximally harvested","no increase",NA
"lutjanus peru","region_7",2023,"maximally harvested","no increase",NA
"lutjanus peru","region_8",2023,"maximally harvested","no increase",NA
"lutjanus peru","region_9",2023,"maximally harvested","no increase",NA
"lutjanus viridis","region_1",2023,"maximally harvested","no increase",NA
"lutjanus viridis","region_2",2023,"maximally harvested","no increase",NA
"lutjanus viridis","region_3",2023,"maximally harvested","no increase",NA
"lutjanus viridis","region_4",2023,"maximally harvested","no increase",NA
"lutjanus viridis","region_5",2023,"maximally harvested","no increase",NA
"lutjanus viridis","region_6",2023,"maximally harvested","no increase",NA
"lutjanus viridis","region_7",2023,"maximally harvested","no increase",NA
"lutjanus viridis","region_8",2023,"maximally harvested","no increase",NA
"lutjanus viridis","region_9",2023,"maximally harvested","no increase",NA
"lyropecten subnodosus","region_1",2012,"maximally harvested","no increase","page 33, generalized"
"lyropecten subnodosus","region_2",2012,"maximally harvested","no increase",NA
"lyropecten subnodosus","region_3",2012,"maximally harvested","no increase",NA
"lyropecten subnodosus","region_4",2012,"maximally harvested","no increase",NA
"macrobrachium tenellum","region_8",2023,"maximally harvested","no increase",NA
"makaira indica","region_4",2012,"decreasing","increase",NA
"makaira indica","region_8",2012,"decreasing","increase",NA
"makaira nigricans","region_4",2012,"decreasing","increase",NA
"makaira nigricans","region_8",2012,"decreasing","increase",NA
"manta birostris","region_1",2006,"","",NA
"manta birostris","region_2",2006,"","",NA
"manta birostris","region_3",2006,"","",NA
"manta birostris","region_4",2006,"","",NA
"manta birostris","region_5",2006,"","",NA
"manta birostris","region_6",2006,"","",NA
"manta birostris","region_7",2006,"","",NA
"manta birostris","region_8",2006,"","",NA
"manta birostris","region_9",2006,"","",NA
"megapitaria aurantiaca","region_1",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria aurantiaca","region_2",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria aurantiaca","region_3",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria aurantiaca","region_4",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria aurantiaca","region_8",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria squalida","region_1",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria squalida","region_2",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria squalida","region_3",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria squalida","region_4",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria squalida","region_8",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"megastraea turbanica","region_1",2023,"deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration"
"megastraea turbanica","region_2",2023,"deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration"
"megastraea turbanica","region_3",2023,"maximally harvested","no increase",NA
"megastraea turbanica","region_4",2023,"maximally harvested","no increase",NA
"megastraea undosa","region_1",2023,"deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration"
"megastraea undosa","region_2",2023,"deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration"
"megastraea undosa","region_3",2023,"maximally harvested","no increase",NA
"megastraea undosa","region_4",2023,"maximally harvested","no increase",NA
"megathura crenulata","region_1",2004,"","",NA
"megathura crenulata","region_2",2004,"","",NA
"megathura crenulata","region_3",2004,"","",NA
"megathura crenulata","region_4",2004,"","",NA
"megathura crenulata","region_5",2004,"","",NA
"megathura crenulata","region_6",2004,"","",NA
"megathura crenulata","region_7",2004,"","",NA
"megathura crenulata","region_8",2004,"","",NA
"megathura crenulata","region_9",2004,"","",NA
"menticirrhus nasus","region_1",2010,"","",NA
"menticirrhus nasus","region_2",2010,"","",NA
"menticirrhus nasus","region_3",2010,"","",NA
"menticirrhus nasus","region_4",2010,"","",NA
"menticirrhus nasus","region_5",2010,"","",NA
"menticirrhus nasus","region_6",2010,"","",NA
"menticirrhus nasus","region_7",2010,"","",NA
"menticirrhus nasus","region_8",2010,"","",NA
"menticirrhus nasus","region_9",2010,"","",NA
"menticirrhus panamensis","region_1",2010,"","",NA
"menticirrhus panamensis","region_2",2010,"","",NA
"menticirrhus panamensis","region_3",2010,"","",NA
"menticirrhus panamensis","region_4",2010,"","",NA
"menticirrhus panamensis","region_5",2010,"","",NA
"menticirrhus panamensis","region_6",2010,"","",NA
"menticirrhus panamensis","region_7",2010,"","",NA
"menticirrhus panamensis","region_8",2010,"","",NA
"menticirrhus panamensis","region_9",2010,"","",NA
"menticirrhus undulatus","region_1",2010,"","",NA
"menticirrhus undulatus","region_2",2010,"","",NA
"menticirrhus undulatus","region_3",2010,"","",NA
"menticirrhus undulatus","region_4",2010,"","",NA
"menticirrhus undulatus","region_5",2010,"","",NA
"menticirrhus undulatus","region_6",2010,"","",NA
"menticirrhus undulatus","region_7",2010,"","",NA
"menticirrhus undulatus","region_8",2010,"","",NA
"menticirrhus undulatus","region_9",2010,"","",NA
"merluccius productus","region_1",2022,"maximally harvested","no increase",NA
"merluccius productus","region_2",2022,"maximally harvested","no increase",NA
"merluccius productus","region_5",2022,"maximally harvested","no increase",NA
"merluccius productus","region_6",2022,"maximally harvested","no increase",NA
"merluccius productus","region_7",2022,"maximally harvested","no increase",NA
"micropogonias altipinnis","region_1",2010,"","",NA
"micropogonias altipinnis","region_2",2010,"","",NA
"micropogonias altipinnis","region_3",2010,"","",NA
"micropogonias altipinnis","region_4",2010,"","",NA
"micropogonias altipinnis","region_5",2010,"","",NA
"micropogonias altipinnis","region_6",2010,"","",NA
"micropogonias altipinnis","region_7",2010,"","",NA
"micropogonias altipinnis","region_8",2010,"","",NA
"micropogonias altipinnis","region_9",2010,"","",NA
"micropogonias megalops","region_1",2010,"","",NA
"micropogonias megalops","region_2",2010,"","",NA
"micropogonias megalops","region_3",2010,"","",NA
"micropogonias megalops","region_4",2010,"","",NA
"micropogonias megalops","region_5",2010,"","",NA
"micropogonias megalops","region_6",2010,"","",NA
"micropogonias megalops","region_7",2010,"","",NA
"micropogonias megalops","region_8",2010,"","",NA
"micropogonias megalops","region_9",2010,"","",NA
"microstomus pacificus","region_1",2010,"","",NA
"microstomus pacificus","region_2",2010,"","",NA
"microstomus pacificus","region_3",2010,"","",NA
"microstomus pacificus","region_4",2010,"","",NA
"microstomus pacificus","region_5",2010,"","",NA
"microstomus pacificus","region_6",2010,"","",NA
"microstomus pacificus","region_7",2010,"","",NA
"microstomus pacificus","region_8",2010,"","",NA
"microstomus pacificus","region_9",2010,"","",NA
"mobula japanica","region_1",2006,"","",NA
"mobula japanica","region_2",2006,"","",NA
"mobula japanica","region_3",2006,"","",NA
"mobula japanica","region_4",2006,"","",NA
"mobula japanica","region_5",2006,"","",NA
"mobula japanica","region_6",2006,"","",NA
"mobula japanica","region_7",2006,"","",NA
"mobula japanica","region_8",2006,"","",NA
"mobula japanica","region_9",2006,"","",NA
"mobula munkiana","region_1",2006,"","",NA
"mobula munkiana","region_2",2006,"","",NA
"mobula munkiana","region_3",2006,"","",NA
"mobula munkiana","region_4",2006,"","",NA
"mobula munkiana","region_5",2006,"","",NA
"mobula munkiana","region_6",2006,"","",NA
"mobula munkiana","region_7",2006,"","",NA
"mobula munkiana","region_8",2006,"","",NA
"mobula munkiana","region_9",2006,"","",NA
"mobula tarapacana","region_1",2006,"","",NA
"mobula tarapacana","region_2",2006,"","",NA
"mobula tarapacana","region_3",2006,"","",NA
"mobula tarapacana","region_4",2006,"","",NA
"mobula tarapacana","region_5",2006,"","",NA
"mobula tarapacana","region_6",2006,"","",NA
"mobula tarapacana","region_7",2006,"","",NA
"mobula tarapacana","region_8",2006,"","",NA
"mobula tarapacana","region_9",2006,"","",NA
"mobula thurstoni","region_1",2006,"","",NA
"mobula thurstoni","region_2",2006,"","",NA
"mobula thurstoni","region_3",2006,"","",NA
"mobula thurstoni","region_4",2006,"","",NA
"mobula thurstoni","region_5",2006,"","",NA
"mobula thurstoni","region_6",2006,"","",NA
"mobula thurstoni","region_7",2006,"","",NA
"mobula thurstoni","region_8",2006,"","",NA
"mobula thurstoni","region_9",2006,"","",NA
"mugil cephalus","region_1",2023,"deteriorating","decrease",NA
"mugil cephalus","region_2",2023,"deteriorating","decrease",NA
"mugil cephalus","region_3",2023,"maximally harvested","no increase",NA
"mugil cephalus","region_4",2023,"maximally harvested","no increase",NA
"mugil cephalus","region_5",2023,"deteriorating","decrease",NA
"mugil cephalus","region_6",2023,"deteriorating","decrease",NA
"mugil cephalus","region_7",2023,"deteriorating","decrease",NA
"mugil cephalus","region_8",2023,"maximally harvested","no increase",NA
"mugil cephalus","region_9",2023,"maximally harvested","no increase",NA
"mugil hospes","region_1",2023,"deteriorating","decrease",NA
"mugil hospes","region_2",2023,"deteriorating","decrease",NA
"mugil hospes","region_3",2023,"maximally harvested","no increase",NA
"mugil hospes","region_4",2023,"maximally harvested","no increase",NA
"mugil hospes","region_5",2023,"deteriorating","decrease",NA
"mugil hospes","region_6",2023,"deteriorating","decrease",NA
"mugil hospes","region_7",2023,"deteriorating","decrease",NA
"mugil hospes","region_8",2023,"maximally harvested","no increase",NA
"mugil hospes","region_9",2023,"maximally harvested","no increase",NA
"mugil setosus (antes curema)","region_1",2023,"deteriorating","decrease",NA
"mugil setosus (antes curema)","region_2",2023,"deteriorating","decrease",NA
"mugil setosus (antes curema)","region_3",2023,"maximally harvested","no increase",NA
"mugil setosus (antes curema)","region_4",2023,"maximally harvested","no increase",NA
"mugil setosus (antes curema)","region_5",2023,"deteriorating","decrease",NA
"mugil setosus (antes curema)","region_6",2023,"deteriorating","decrease",NA
"mugil setosus (antes curema)","region_7",2023,"deteriorating","decrease",NA
"mugil setosus (antes curema)","region_8",2023,"maximally harvested","no increase",NA
"mugil setosus (antes curema)","region_9",2023,"maximally harvested","no increase",NA
"muricanthus nigritus","region_3",2023,"maximally harvested","no increase",NA
"muricanthus nigritus","region_4",2023,"maximally harvested","no increase",NA
"muricanthus nigritus","region_5",2023,"maximally harvested","no increase",NA
"muricanthus nigritus","region_6",2023,"maximally harvested","no increase",NA
"muricanthus nigritus","region_7",2023,"maximally harvested","no increase",NA
"muricantus nigritus","region_1",2010,"","","might be in 2023 as: Caracol chino rosa, Phyllonotus erythrostomus"
"muricantus nigritus","region_2",2010,"","",NA
"muricantus nigritus","region_3",2010,"","",NA
"muricantus nigritus","region_4",2010,"","",NA
"muricantus nigritus","region_5",2010,"","",NA
"muricantus nigritus","region_6",2010,"","",NA
"muricantus nigritus","region_7",2010,"","",NA
"muricantus nigritus","region_8",2010,"","",NA
"muricantus nigritus","region_9",2010,"","",NA
"mustelus albipinnis","region_1",2023,"maximally harvested","no increase",NA
"mustelus albipinnis","region_2",2023,"maximally harvested","no increase",NA
"mustelus albipinnis","region_3",2023,"maximally harvested","no increase",NA
"mustelus albipinnis","region_4",2023,"maximally harvested","no increase",NA
"mustelus albipinnis","region_5",2023,"maximally harvested","no increase",NA
"mustelus albipinnis","region_6",2023,"maximally harvested","no increase",NA
"mustelus albipinnis","region_7",2023,"maximally harvested","no increase",NA
"mustelus albipinnis","region_8",2023,"maximally harvested","no increase",NA
"mustelus albipinnis","region_9",2023,"maximally harvested","no increase",NA
"mustelus californicus","region_1",2023,"maximally harvested","no increase",NA
"mustelus californicus","region_2",2023,"maximally harvested","no increase",NA
"mustelus californicus","region_3",2023,"maximally harvested","no increase",NA
"mustelus californicus","region_4",2023,"maximally harvested","no increase",NA
"mustelus californicus","region_5",2023,"maximally harvested","no increase",NA
"mustelus californicus","region_6",2023,"maximally harvested","no increase",NA
"mustelus californicus","region_7",2023,"maximally harvested","no increase",NA
"mustelus californicus","region_8",2023,"maximally harvested","no increase",NA
"mustelus californicus","region_9",2023,"maximally harvested","no increase",NA
"mustelus henlei","region_1",2023,"maximally harvested","no increase",NA
"mustelus henlei","region_2",2023,"maximally harvested","no increase",NA
"mustelus henlei","region_3",2023,"maximally harvested","no increase",NA
"mustelus henlei","region_4",2023,"maximally harvested","no increase",NA
"mustelus henlei","region_5",2023,"maximally harvested","no increase",NA
"mustelus henlei","region_6",2023,"maximally harvested","no increase",NA
"mustelus henlei","region_7",2023,"maximally harvested","no increase",NA
"mustelus henlei","region_8",2023,"maximally harvested","no increase",NA
"mustelus henlei","region_9",2023,"maximally harvested","no increase",NA
"mustelus lunulatus","region_1",2023,"maximally harvested","no increase",NA
"mustelus lunulatus","region_2",2023,"maximally harvested","no increase",NA
"mustelus lunulatus","region_3",2023,"maximally harvested","no increase",NA
"mustelus lunulatus","region_4",2023,"maximally harvested","no increase",NA
"mustelus lunulatus","region_5",2023,"maximally harvested","no increase",NA
"mustelus lunulatus","region_6",2023,"maximally harvested","no increase",NA
"mustelus lunulatus","region_7",2023,"maximally harvested","no increase",NA
"mustelus lunulatus","region_8",2023,"maximally harvested","no increase",NA
"mustelus lunulatus","region_9",2023,"maximally harvested","no increase",NA
"mycteroperca jordani","region_1",2010,"","",NA
"mycteroperca jordani","region_2",2010,"","",NA
"mycteroperca jordani","region_3",2010,"","",NA
"mycteroperca jordani","region_4",2010,"","",NA
"mycteroperca jordani","region_5",2010,"","",NA
"mycteroperca jordani","region_6",2010,"","",NA
"mycteroperca jordani","region_7",2010,"","",NA
"mycteroperca jordani","region_8",2010,"","",NA
"mycteroperca jordani","region_9",2010,"","",NA
"mycteroperca prionura","region_1",2010,"","",NA
"mycteroperca prionura","region_2",2010,"","",NA
"mycteroperca prionura","region_3",2010,"","",NA
"mycteroperca prionura","region_4",2010,"","",NA
"mycteroperca prionura","region_5",2010,"","",NA
"mycteroperca prionura","region_6",2010,"","",NA
"mycteroperca prionura","region_7",2010,"","",NA
"mycteroperca prionura","region_8",2010,"","",NA
"mycteroperca prionura","region_9",2010,"","",NA
"mycteroperca rosacea","region_1",2010,"","",NA
"mycteroperca rosacea","region_2",2010,"","",NA
"mycteroperca rosacea","region_3",2010,"","",NA
"mycteroperca rosacea","region_4",2010,"","",NA
"mycteroperca rosacea","region_5",2010,"","",NA
"mycteroperca rosacea","region_6",2010,"","",NA
"mycteroperca rosacea","region_7",2010,"","",NA
"mycteroperca rosacea","region_8",2010,"","",NA
"mycteroperca rosacea","region_9",2010,"","",NA
"mycteroperca xenarcha","region_1",2010,"","",NA
"mycteroperca xenarcha","region_2",2010,"","",NA
"mycteroperca xenarcha","region_3",2010,"","",NA
"mycteroperca xenarcha","region_4",2010,"","",NA
"mycteroperca xenarcha","region_5",2010,"","",NA
"mycteroperca xenarcha","region_6",2010,"","",NA
"mycteroperca xenarcha","region_7",2010,"","",NA
"mycteroperca xenarcha","region_8",2010,"","",NA
"mycteroperca xenarcha","region_9",2010,"","",NA
"myliobatis californica","region_1",2010,"","",NA
"myliobatis californica","region_2",2010,"","",NA
"myliobatis californica","region_3",2010,"","",NA
"myliobatis californica","region_4",2010,"","",NA
"myliobatis californica","region_5",2010,"","",NA
"myliobatis californica","region_6",2010,"","",NA
"myliobatis californica","region_7",2010,"","",NA
"myliobatis californica","region_8",2010,"","",NA
"myliobatis californica","region_9",2010,"","",NA
"myliobatis longirostris","region_1",2010,"","",NA
"myliobatis longirostris","region_2",2010,"","",NA
"myliobatis longirostris","region_3",2010,"","",NA
"myliobatis longirostris","region_4",2010,"","",NA
"myliobatis longirostris","region_5",2010,"","",NA
"myliobatis longirostris","region_6",2010,"","",NA
"myliobatis longirostris","region_7",2010,"","",NA
"myliobatis longirostris","region_8",2010,"","",NA
"myliobatis longirostris","region_9",2010,"","",NA
"narcine entemedor","region_1",2010,"","",NA
"narcine entemedor","region_2",2010,"","",NA
"narcine entemedor","region_3",2010,"","",NA
"narcine entemedor","region_4",2010,"","",NA
"narcine entemedor","region_5",2010,"","",NA
"narcine entemedor","region_6",2010,"","",NA
"narcine entemedor","region_7",2010,"","",NA
"narcine entemedor","region_8",2010,"","",NA
"narcine entemedor","region_9",2010,"","",NA
"nasolamia velox","region_1",2023,"maximally harvested","no increase",NA
"nasolamia velox","region_2",2023,"maximally harvested","no increase",NA
"nasolamia velox","region_3",2023,"maximally harvested","no increase",NA
"nasolamia velox","region_4",2023,"maximally harvested","no increase",NA
"nasolamia velox","region_5",2023,"maximally harvested","no increase",NA
"nasolamia velox","region_6",2023,"maximally harvested","no increase",NA
"nasolamia velox","region_7",2023,"maximally harvested","no increase",NA
"nasolamia velox","region_8",2023,"maximally harvested","no increase",NA
"nasolamia velox","region_9",2023,"maximally harvested","no increase",NA
"negaprion brevirostris","region_1",2023,"maximally harvested","no increase",NA
"negaprion brevirostris","region_2",2023,"maximally harvested","no increase",NA
"negaprion brevirostris","region_3",2023,"maximally harvested","no increase",NA
"negaprion brevirostris","region_4",2023,"maximally harvested","no increase",NA
"negaprion brevirostris","region_5",2023,"maximally harvested","no increase",NA
"negaprion brevirostris","region_6",2023,"maximally harvested","no increase",NA
"negaprion brevirostris","region_7",2023,"maximally harvested","no increase",NA
"negaprion brevirostris","region_8",2023,"maximally harvested","no increase",NA
"negaprion brevirostris","region_9",2023,"maximally harvested","no increase",NA
"octopus bimaculatus","region_1",2023,"maximally harvested","no increase",NA
"octopus bimaculatus","region_2",2023,"maximally harvested","no increase",NA
"octopus bimaculatus","region_5",2023,"maximally harvested","no increase",NA
"octopus bimaculatus","region_6",2023,"maximally harvested","no increase",NA
"octopus bimaculoides","region_1",2023,"maximally harvested","no increase",NA
"octopus bimaculoides","region_2",2023,"maximally harvested","no increase",NA
"octopus bimaculoides","region_3",2023,"maximally harvested","no increase",NA
"octopus bimaculoides","region_4",2023,"maximally harvested","no increase",NA
"octopus bimaculoides","region_5",2023,"maximally harvested","no increase",NA
"octopus bimaculoides","region_6",2023,"maximally harvested","no increase",NA
"octopus bimaculoides","region_7",2023,"maximally harvested","no increase",NA
"octopus bimaculoides","region_8",2023,"maximally harvested","no increase",NA
"octopus bimaculoides","region_9",2023,"maximally harvested","no increase",NA
"octopus hubbsorum","region_2",2023,"maximally harvested","no increase",NA
"octopus hubbsorum","region_3",2023,"maximally harvested","no increase",NA
"octopus hubbsorum","region_4",2023,"maximally harvested","no increase",NA
"octopus hubbsorum","region_6",2023,"maximally harvested","no increase",NA
"octopus hubbsorum","region_7",2023,"maximally harvested","no increase",NA
"octopus hubbsorum","region_8",2023,"maximally harvested","no increase",NA
"octopus hubbsorum","region_9",2023,"maximally harvested","no increase",NA
"octopus macropus","region_1",2004,"","",NA
"octopus macropus","region_2",2004,"","",NA
"octopus macropus","region_3",2004,"","",NA
"octopus macropus","region_4",2004,"","",NA
"octopus macropus","region_5",2004,"","",NA
"octopus macropus","region_6",2004,"","",NA
"octopus macropus","region_7",2004,"","",NA
"octopus macropus","region_8",2004,"","",NA
"octopus macropus","region_9",2004,"","",NA
"octopus rubescens","region_1",2004,"","",NA
"octopus rubescens","region_2",2004,"","",NA
"octopus rubescens","region_3",2004,"","",NA
"octopus rubescens","region_4",2004,"","",NA
"octopus rubescens","region_5",2004,"","",NA
"octopus rubescens","region_6",2004,"","",NA
"octopus rubescens","region_7",2004,"","",NA
"octopus rubescens","region_8",2004,"","",NA
"octopus rubescens","region_9",2004,"","",NA
"octopus vulgaris","region_1",2004,"","",NA
"octopus vulgaris","region_2",2004,"","",NA
"octopus vulgaris","region_3",2004,"","",NA
"octopus vulgaris","region_4",2004,"","",NA
"octopus vulgaris","region_5",2004,"","",NA
"octopus vulgaris","region_6",2004,"","",NA
"octopus vulgaris","region_7",2004,"","",NA
"octopus vulgaris","region_8",2004,"","",NA
"octopus vulgaris","region_9",2004,"","",NA
"oligoplites refulgens, o. altus, o.","region_1",2022,"maximally harvested","no increase",NA
"oligoplites refulgens, o. altus, o. saurus","region_1",2022,"maximally harvested","no increase",NA
"oligoplites refulgens, o. altus, o. saurus","region_2",2022,"maximally harvested","no increase",NA
"oligoplites refulgens, o. altus, o. saurus","region_3",2022,"maximally harvested","no increase",NA
"oligoplites refulgens, o. altus, o. saurus","region_4",2022,"maximally harvested","no increase",NA
